,outcome,redTeam1,redTeam1R,redTeam2,redTeam2R,redTeam3,redTeam3R,redTeam4,redTeam4R,redTeam5,redTeam5R,blueTeam1,blueTeam1R,blueTeam2,blueTeam2R,blueTeam3,blueTeam3R,blueTeam4,blueTeam4R,blueTeam5,blueTeam5R
0,1,85,TOP,107,JUNGLE,238,MIDDLE,145,BOTTOM,497,UTILITY,77,TOP,76,JUNGLE,3,MIDDLE,81,BOTTOM,147,UTILITY
0,1,164,TOP,9,JUNGLE,42,MIDDLE,145,BOTTOM,111,UTILITY,19,TOP,30,JUNGLE,86,MIDDLE,81,BOTTOM,40,UTILITY
0,1,4,TOP,360,BOTTOM,81,MIDDLE,30,JUNGLE,111,UTILITY,221,TOP,121,JUNGLE,9,MIDDLE,145,BOTTOM,12,UTILITY
0,0,68,TOP,234,JUNGLE,910,MIDDLE,360,BOTTOM,111,UTILITY,77,TOP,63,JUNGLE,42,MIDDLE,222,BOTTOM,201,UTILITY
0,1,164,TOP,20,JUNGLE,4,MIDDLE,81,BOTTOM,26,UTILITY,236,TOP,245,JUNGLE,777,MIDDLE,21,BOTTOM,902,UTILITY
0,1,164,TOP,427,JUNGLE,99,MIDDLE,202,BOTTOM,497,UTILITY,6,TOP,63,JUNGLE,236,MIDDLE,81,BOTTOM,518,UTILITY
0,1,79,TOP,234,JUNGLE,166,MIDDLE,81,BOTTOM,555,UTILITY,24,TOP,254,JUNGLE,131,MIDDLE,202,BOTTOM,432,UTILITY
0,1,85,TOP,64,JUNGLE,3,MIDDLE,81,BOTTOM,432,UTILITY,58,TOP,104,JUNGLE,63,MIDDLE,21,BOTTOM,111,UTILITY
0,1,67,TOP,63,JUNGLE,126,MIDDLE,221,BOTTOM,111,UTILITY,77,TOP,121,JUNGLE,81,MIDDLE,145,BOTTOM,89,UTILITY
0,1,41,TOP,203,JUNGLE,517,MIDDLE,145,BOTTOM,89,UTILITY,24,TOP,121,JUNGLE,81,MIDDLE,910,BOTTOM,12,UTILITY
0,1,4,TOP,77,JUNGLE,8,MIDDLE,221,BOTTOM,497,UTILITY,897,TOP,121,JUNGLE,42,MIDDLE,147,BOTTOM,12,UTILITY
0,1,41,TOP,143,JUNGLE,81,MIDDLE,360,BOTTOM,111,UTILITY,58,TOP,200,JUNGLE,910,MIDDLE,22,BOTTOM,201,UTILITY
0,1,67,TOP,143,JUNGLE,157,MIDDLE,221,BOTTOM,78,UTILITY,77,TOP,200,JUNGLE,145,BOTTOM,13,MIDDLE,526,UTILITY
0,1,164,TOP,143,JUNGLE,42,MIDDLE,22,BOTTOM,432,UTILITY,103,TOP,5,JUNGLE,81,MIDDLE,236,BOTTOM,555,UTILITY
0,1,85,TOP,107,JUNGLE,81,MIDDLE,498,BOTTOM,497,UTILITY,4,TOP,121,JUNGLE,517,MIDDLE,29,BOTTOM,111,UTILITY
0,1,67,TOP,76,JUNGLE,42,MIDDLE,222,BOTTOM,497,UTILITY,164,TOP,35,JUNGLE,55,MIDDLE,145,BOTTOM,111,UTILITY
0,0,4,TOP,35,JUNGLE,38,MIDDLE,22,BOTTOM,43,UTILITY,84,TOP,143,JUNGLE,81,MIDDLE,21,BOTTOM,111,UTILITY
0,0,24,TOP,79,JUNGLE,42,MIDDLE,222,BOTTOM,267,UTILITY,266,TOP,32,JUNGLE,18,MIDDLE,221,BOTTOM,111,UTILITY
0,1,79,TOP,77,JUNGLE,777,MIDDLE,360,BOTTOM,111,UTILITY,58,TOP,143,JUNGLE,103,MIDDLE,81,BOTTOM,89,UTILITY
