,outcome,redTeam,blueTeam,Role
0,1,85,77,TOP
0,1,107,76,JUNGLE
0,1,238,3,MIDDLE
0,1,145,81,BOTTOM
0,1,497,147,UTILITY
0,1,164,19,TOP
0,1,9,30,JUNGLE
0,1,42,86,MIDDLE
0,1,145,81,BOTTOM
0,1,111,40,UTILITY
0,1,4,221,TOP
0,1,360,121,BOTTOM
0,1,81,9,MIDDLE
0,1,30,145,JUNGLE
0,1,111,12,UTILITY
0,0,68,77,TOP
0,0,234,63,JUNGLE
0,0,910,42,MIDDLE
0,0,360,222,BOTTOM
0,0,111,201,UTILITY
0,1,164,236,TOP
0,1,20,245,JUNGLE
0,1,4,777,MIDDLE
0,1,81,21,BOTTOM
0,1,26,902,UTILITY
0,1,164,6,TOP
0,1,427,63,JUNGLE
0,1,99,236,MIDDLE
0,1,202,81,BOTTOM
0,1,497,518,UTILITY
0,1,79,24,TOP
0,1,234,254,JUNGLE
0,1,166,131,MIDDLE
0,1,81,202,BOTTOM
0,1,555,432,UTILITY
0,1,85,58,TOP
0,1,64,104,JUNGLE
0,1,3,63,MIDDLE
0,1,81,21,BOTTOM
0,1,432,111,UTILITY
0,1,67,77,TOP
0,1,63,121,JUNGLE
0,1,126,81,MIDDLE
0,1,221,145,BOTTOM
0,1,111,89,UTILITY
0,1,41,24,TOP
0,1,203,121,JUNGLE
0,1,517,81,MIDDLE
0,1,145,910,BOTTOM
0,1,89,12,UTILITY
0,1,4,897,TOP
0,1,77,121,JUNGLE
0,1,8,42,MIDDLE
0,1,221,147,BOTTOM
0,1,497,12,UTILITY
0,1,41,58,TOP
0,1,143,200,JUNGLE
0,1,81,910,MIDDLE
0,1,360,22,BOTTOM
0,1,111,201,UTILITY
0,1,67,77,TOP
0,1,143,200,JUNGLE
0,1,157,145,MIDDLE
0,1,221,13,BOTTOM
0,1,78,526,UTILITY
0,1,164,103,TOP
0,1,143,5,JUNGLE
0,1,42,81,MIDDLE
0,1,22,236,BOTTOM
0,1,432,555,UTILITY
0,1,85,4,TOP
0,1,107,121,JUNGLE
0,1,81,517,MIDDLE
0,1,498,29,BOTTOM
0,1,497,111,UTILITY
0,1,67,164,TOP
0,1,76,35,JUNGLE
0,1,42,55,MIDDLE
0,1,222,145,BOTTOM
0,1,497,111,UTILITY
0,0,4,84,TOP
0,0,35,143,JUNGLE
0,0,38,81,MIDDLE
0,0,22,21,BOTTOM
0,0,43,111,UTILITY
0,0,24,266,TOP
0,0,79,32,JUNGLE
0,0,42,18,MIDDLE
0,0,222,221,BOTTOM
0,0,267,111,UTILITY
0,1,79,58,TOP
0,1,77,143,JUNGLE
0,1,777,103,MIDDLE
0,1,360,81,BOTTOM
0,1,111,89,UTILITY
0,1,72,67,TOP
0,1,64,20,JUNGLE
0,1,236,910,MIDDLE
0,1,115,145,BOTTOM
0,1,111,32,UTILITY
0,0,85,266,MIDDLE
0,0,200,143,JUNGLE
0,0,4,18,TOP
0,0,145,21,BOTTOM
0,0,902,111,UTILITY
0,1,67,164,TOP
0,1,120,104,JUNGLE
0,1,142,7,MIDDLE
0,1,222,81,BOTTOM
0,1,412,910,UTILITY
0,0,4,142,TOP
0,0,76,201,JUNGLE
0,0,234,42,MIDDLE
0,0,222,81,BOTTOM
0,0,147,143,UTILITY
0,0,85,24,TOP
0,0,154,35,JUNGLE
0,0,23,240,MIDDLE
0,0,360,145,BOTTOM
0,0,12,910,UTILITY
0,1,164,3,TOP
0,1,200,121,JUNGLE
0,1,245,266,MIDDLE
0,1,523,51,BOTTOM
0,1,40,22,UTILITY
0,1,78,154,TOP
0,1,245,104,JUNGLE
0,1,238,103,MIDDLE
0,1,222,221,BOTTOM
0,1,555,44,UTILITY
0,1,41,58,TOP
0,1,120,245,JUNGLE
0,1,42,90,MIDDLE
0,1,99,202,BOTTOM
0,1,111,40,UTILITY
0,1,221,27,TOP
0,1,245,28,JUNGLE
0,1,86,777,MIDDLE
0,1,145,67,BOTTOM
0,1,555,117,UTILITY
0,0,114,126,TOP
0,0,245,427,JUNGLE
0,0,777,134,MIDDLE
0,0,21,119,BOTTOM
0,0,89,201,UTILITY
0,1,126,150,TOP
0,1,245,25,JUNGLE
0,1,22,81,MIDDLE
0,1,221,145,BOTTOM
0,1,526,111,UTILITY
0,1,164,75,TOP
0,1,245,203,JUNGLE
0,1,236,112,MIDDLE
0,1,221,21,BOTTOM
0,1,147,497,UTILITY
0,0,6,268,TOP
0,0,245,91,JUNGLE
0,0,42,54,MIDDLE
0,0,29,81,BOTTOM
0,0,111,497,UTILITY
0,0,36,85,TOP
0,0,245,163,JUNGLE
0,0,42,236,MIDDLE
0,0,221,81,BOTTOM
0,0,117,89,UTILITY
0,0,150,68,TOP
0,0,79,59,JUNGLE
0,0,18,236,MIDDLE
0,0,222,523,BOTTOM
0,0,89,72,UTILITY
0,1,67,236,TOP
0,1,245,120,JUNGLE
0,1,157,1,MIDDLE
0,1,202,81,BOTTOM
0,1,40,43,UTILITY
0,0,266,58,TOP
0,0,245,238,JUNGLE
0,0,3,7,MIDDLE
0,0,222,115,BOTTOM
0,0,78,432,UTILITY
0,0,84,24,TOP
0,0,5,245,JUNGLE
0,0,21,145,MIDDLE
0,0,81,202,BOTTOM
0,0,43,432,UTILITY
0,0,84,897,TOP
0,0,245,30,JUNGLE
0,0,236,201,MIDDLE
0,0,81,42,BOTTOM
0,0,154,221,UTILITY
0,1,91,79,TOP
0,1,59,62,JUNGLE
0,1,84,157,MIDDLE
0,1,119,42,BOTTOM
0,1,16,518,UTILITY
0,1,98,58,TOP
0,1,245,234,JUNGLE
0,1,81,4,MIDDLE
0,1,145,63,BOTTOM
0,1,89,267,UTILITY
0,0,41,78,TOP
0,0,203,245,JUNGLE
0,0,268,18,MIDDLE
0,0,81,145,BOTTOM
0,0,89,555,UTILITY
0,0,78,517,TOP
0,0,245,5,JUNGLE
0,0,54,103,MIDDLE
0,0,119,21,BOTTOM
0,0,111,526,UTILITY
0,0,36,85,TOP
0,0,77,59,JUNGLE
0,0,84,777,MIDDLE
0,0,236,221,BOTTOM
0,0,40,902,UTILITY
0,1,84,163,TOP
0,1,59,120,JUNGLE
0,1,134,150,MIDDLE
0,1,498,145,BOTTOM
0,1,89,412,UTILITY
0,0,54,24,TOP
0,0,245,33,JUNGLE
0,0,42,18,MIDDLE
0,0,21,119,BOTTOM
0,0,555,89,UTILITY
0,1,24,4,TOP
0,1,59,120,JUNGLE
0,1,22,131,BOTTOM
0,1,105,81,MIDDLE
0,1,89,201,UTILITY
0,0,58,106,TOP
0,0,876,245,JUNGLE
0,0,91,236,MIDDLE
0,0,81,777,BOTTOM
0,0,910,432,UTILITY
0,0,517,54,TOP
0,0,245,11,JUNGLE
0,0,145,157,MIDDLE
0,0,202,81,BOTTOM
0,0,89,40,UTILITY
0,1,77,4,TOP
0,1,245,63,JUNGLE
0,1,64,246,MIDDLE
0,1,81,145,BOTTOM
0,1,497,89,UTILITY
0,0,2,19,TOP
0,0,77,245,JUNGLE
0,0,14,99,MIDDLE
0,0,222,81,BOTTOM
0,0,111,432,UTILITY
0,1,58,164,TOP
0,1,5,76,JUNGLE
0,1,134,18,MIDDLE
0,1,202,29,BOTTOM
0,1,89,201,UTILITY
0,1,901,75,TOP
0,1,427,234,JUNGLE
0,1,18,110,MIDDLE
0,1,221,222,BOTTOM
0,1,517,57,UTILITY
0,1,36,86,TOP
0,1,427,245,JUNGLE
0,1,42,110,MIDDLE
0,1,222,145,BOTTOM
0,1,412,57,UTILITY
0,1,85,126,TOP
0,1,63,78,JUNGLE
0,1,950,136,MIDDLE
0,1,222,21,BOTTOM
0,1,147,89,UTILITY
0,0,221,150,TOP
0,0,30,64,JUNGLE
0,0,950,268,MIDDLE
0,0,236,29,BOTTOM
0,0,63,117,UTILITY
0,0,777,150,TOP
0,0,143,76,JUNGLE
0,0,81,24,MIDDLE
0,0,21,145,BOTTOM
0,0,89,201,UTILITY
0,1,6,107,TOP
0,1,63,76,JUNGLE
0,1,119,236,MIDDLE
0,1,222,81,BOTTOM
0,1,555,78,UTILITY
0,0,266,41,TOP
0,0,120,234,JUNGLE
0,0,7,3,MIDDLE
0,0,222,29,BOTTOM
0,0,44,555,UTILITY
0,1,122,19,TOP
0,1,35,427,JUNGLE
0,1,18,42,MIDDLE
0,1,523,63,BOTTOM
0,1,143,555,UTILITY
0,0,221,6,TOP
0,0,154,63,JUNGLE
0,0,110,145,MIDDLE
0,0,81,523,BOTTOM
0,0,43,26,UTILITY
0,0,84,42,TOP
0,0,234,63,JUNGLE
0,0,103,68,MIDDLE
0,0,145,12,BOTTOM
0,0,111,21,UTILITY
0,1,24,106,TOP
0,1,64,63,JUNGLE
0,1,4,18,MIDDLE
0,1,81,145,BOTTOM
0,1,22,89,UTILITY
0,1,164,516,TOP
0,1,121,30,JUNGLE
0,1,69,18,MIDDLE
0,1,81,221,BOTTOM
0,1,89,12,UTILITY
0,1,41,85,MIDDLE
0,1,131,421,JUNGLE
0,1,84,114,TOP
0,1,51,221,BOTTOM
0,1,35,53,UTILITY
0,0,126,85,TOP
0,0,63,203,JUNGLE
0,0,81,18,MIDDLE
0,0,236,110,BOTTOM
0,0,111,201,UTILITY
0,0,54,236,TOP
0,0,203,427,JUNGLE
0,0,63,18,MIDDLE
0,0,81,145,BOTTOM
0,0,201,89,UTILITY
0,0,154,92,TOP
0,0,120,77,JUNGLE
