,0
0,NA1_5036518415
1,NA1_5036511826
2,NA1_5036496169
3,NA1_5035936299
4,NA1_5035925053
5,NA1_5035906397
6,NA1_5035470687
7,NA1_5035428371
8,NA1_5035402815
9,NA1_5034824451
10,NA1_5034811770
11,NA1_5034780669
12,NA1_5034768874
13,NA1_5030494093
14,NA1_5030442871
15,NA1_5030412958
16,NA1_5029179586
17,NA1_5029163020
18,NA1_5029143841
19,NA1_5029123902
20,NA1_5029104414
21,NA1_5028495054
22,NA1_5028023007
23,NA1_5027852772
24,NA1_5027255716
25,NA1_5038448587
26,NA1_5038432543
27,NA1_5038411881
28,NA1_5038201370
29,NA1_5038030533
30,NA1_5038000783
31,NA1_5037965175
32,NA1_5037934629
33,NA1_5037307147
34,NA1_5037284418
35,NA1_5037217508
36,NA1_5037203555
37,NA1_5037155954
38,NA1_5037145233
39,NA1_5037132916
40,NA1_5036652312
41,NA1_5036042211
42,NA1_5036019687
43,NA1_5035968193
44,NA1_5035164262
45,NA1_5035124591
46,NA1_5035098470
47,NA1_5035071141
48,NA1_5035035400
49,NA1_5034998719
50,NA1_5039065259
51,NA1_5038772405
52,NA1_5038742403
53,NA1_5038722432
54,NA1_5038698879
55,NA1_5038657370
56,NA1_5038624234
57,NA1_5038595052
58,NA1_5038561102
59,NA1_5038530542
60,NA1_5038512287
61,NA1_5038495468
62,NA1_5038478086
63,NA1_5038454315
64,NA1_5038194419
65,NA1_5038166057
66,NA1_5038133842
67,NA1_5038081100
68,NA1_5038035037
69,NA1_5037812863
70,NA1_5037527909
71,NA1_5037502918
72,NA1_5037476391
73,NA1_5036684126
74,NA1_5035620684
75,NA1_5038810496
76,NA1_5037430766
77,NA1_5037393498
78,NA1_5037361769
79,NA1_5037332586
80,NA1_5037266198
81,NA1_5037188685
82,NA1_5037027131
83,NA1_5037015452
84,NA1_5036985454
85,NA1_5036966329
86,NA1_5036938922
87,NA1_5036901293
88,NA1_5036601270
89,NA1_5036584497
90,NA1_5036571216
91,NA1_5036545297
92,NA1_5036534413
93,NA1_5035844623
94,NA1_5035831792
95,NA1_5035809295
96,NA1_5035777893
97,NA1_5035749156
98,NA1_5039175546
99,NA1_5038598152
100,NA1_5038576847
101,NA1_5038546699
102,NA1_5038528971
103,NA1_5038458096
104,NA1_5038420855
105,NA1_5038149467
106,NA1_5038120806
107,NA1_5037477745
108,NA1_5037220127
109,NA1_5036907030
110,NA1_5036879094
111,NA1_5036849512
112,NA1_5036358672
113,NA1_5036347892
114,NA1_5036316971
115,NA1_5036187200
116,NA1_5036139767
117,NA1_5036032091
118,NA1_5038416839
119,NA1_5038094234
120,NA1_5038010065
121,NA1_5037985758
122,NA1_5037944572
123,NA1_5037749205
124,NA1_5037538734
125,NA1_5037445935
126,NA1_5037345680
127,NA1_5037297349
128,NA1_5036677684
129,NA1_5036662020
130,NA1_5036641141
131,NA1_5036626890
132,NA1_5036605865
133,NA1_5036591359
134,NA1_5036569333
135,NA1_5036367817
136,NA1_5036287837
137,NA1_5036247840
138,NA1_5036223828
139,NA1_5036165307
140,NA1_5039054227
141,NA1_5038971248
142,NA1_5038472024
143,NA1_5038381436
144,NA1_5038359711
145,NA1_5038337991
146,NA1_5038316626
147,NA1_5037786348
148,NA1_5037774193
149,NA1_5037680372
150,NA1_5037187183
151,NA1_5037119377
152,NA1_5037107841
153,NA1_5036524250
154,NA1_5035969201
155,NA1_5035941386
156,NA1_5035552353
157,NA1_5035525427
158,NA1_5035456601
159,NA1_5035443505
160,NA1_5035428907
161,NA1_5035375362
162,NA1_5035354591
163,NA1_5038869612
164,NA1_5038849846
165,NA1_5038831774
166,NA1_5038806083
167,NA1_5038762603
168,NA1_5038702782
169,NA1_5038661510
170,NA1_5038503657
171,NA1_5038495866
172,NA1_5038217947
173,NA1_5038188883
174,NA1_5038159333
175,NA1_5038131383
176,NA1_5038089003
177,NA1_5038040953
178,NA1_5037591396
179,NA1_5037580910
180,NA1_5037553492
181,NA1_5037459161
182,NA1_5036925375
183,NA1_5036889697
184,NA1_5035935157
185,NA1_5032534716
