,name,tier,win_rate,rank,pick_rate,ban_rate,matches
0,Aatrox,S+Tier,50.27%,52.46%,12.5%,16.5%,"124,992"
1,Ahri,STier,50.25%,52.54%,7.7%,5.6%,"77,346"
2,Akali,CTier,49.46%,77.97%,4.6%,10.4%,"46,341"
3,Akshan,S+Tier,52.52%,5.08%,2.5%,5.9%,"25,387"
4,Alistar,ATier,50.25%,46.67%,5.8%,2.1%,"57,730"
5,Amumu,STier,51.37%,17.65%,3.9%,1.2%,"39,377"
6,Anivia,STier,52.51%,6.78%,2.0%,1.5%,"20,078"
7,Annie,ATier,51.64%,23.73%,1.3%,0.3%,"12,831"
8,Aphelios,DTier,47.56%,92.31%,6.5%,1.7%,"65,160"
9,Ashe,S+Tier,51.15%,26.92%,10.8%,11.7%,"108,667"
10,Aurelion Sol,STier,51.46%,28.81%,3.6%,2.2%,"36,304"
11,Aurora,DTier,49.2%,81.36%,9.6%,46.7%,"95,867"
12,Azir,DTier,46.62%,98.31%,2.7%,0.4%,"27,072"
13,Bard,BTier,49.67%,66.67%,3.1%,0.5%,"31,251"
14,Bel'Veth,S+Tier,51.02%,21.57%,3.1%,7.2%,"31,190"
15,Blitzcrank,CTier,49.36%,73.33%,6.4%,22.3%,"64,469"
16,Brand,STier,50.21%,43.14%,5.7%,13.9%,"57,400"
17,Braum,S+Tier,51.41%,13.33%,8.0%,5.3%,"80,333"
18,Briar,STier,50.13%,50.98%,3.3%,5.3%,"33,111"
19,Caitlyn,DTier,48.81%,84.62%,12.0%,16.4%,"120,544"
20,Camille,S+Tier,51.46%,14.75%,6.0%,6.2%,"60,471"
21,Cassiopeia,STier,52.67%,3.39%,2.1%,2.2%,"20,776"
22,Cho'Gath,ATier,50.37%,47.54%,2.2%,0.4%,"22,147"
23,Corki,DTier,47.27%,94.92%,3.9%,1.7%,"39,027"
24,Darius,S+Tier,50.31%,50.82%,7.2%,18.2%,"71,918"
25,Diana,ATier,50.29%,41.18%,5.2%,2.6%,"52,056"
26,Dr. Mundo,CTier,49.65%,72.13%,6.0%,6.2%,"60,509"
27,Draven,S+Tier,50.68%,34.62%,5.3%,24.1%,"52,957"
28,Ekko,BTier,49.95%,66.67%,4.0%,1.4%,"39,715"
29,Elise,ATier,50.17%,47.06%,2.0%,0.9%,"19,911"
30,Evelynn,BTier,49.86%,68.63%,2.4%,5.3%,"24,081"
31,Ezreal,DTier,49.73%,53.85%,28.2%,19.1%,"283,078"
32,Fiddlesticks,STier,51.69%,7.84%,3.1%,2.6%,"30,749"
33,Fiora,S+Tier,50.21%,59.02%,4.3%,7.9%,"43,044"
34,Fizz,STier,50.56%,44.07%,3.1%,4.3%,"30,797"
35,Galio,STier,52.45%,8.47%,3.5%,1.4%,"35,159"
36,Gangplank,CTier,49.29%,78.69%,3.3%,1.5%,"32,881"
37,Garen,STier,50.63%,34.43%,6.3%,4.7%,"63,461"
38,Gnar,CTier,49.51%,73.77%,4.0%,0.7%,"39,722"
39,Gragas,DTier,48.41%,88.24%,2.7%,2.4%,"26,722"
40,Graves,DTier,49.36%,76.47%,7.1%,3.4%,"71,639"
41,Gwen,STier,50.93%,22.95%,3.1%,2.3%,"30,842"
42,Hecarim,STier,50.1%,54.90%,6.9%,6.0%,"69,654"
43,Heimerdinger,ATier,50.52%,42.62%,0.9%,0.7%,"8,905"
44,Hwei,DTier,49.51%,76.27%,6.9%,12.3%,"69,545"
45,Illaoi,S+Tier,50.78%,27.87%,3.3%,6.8%,"33,069"
46,Irelia,BTier,49.61%,69.49%,3.2%,10.2%,"32,541"
47,Ivern,STier,51.79%,5.88%,1.8%,1.1%,"18,199"
48,Janna,STier,51.69%,11.11%,4.9%,2.7%,"48,973"
49,Jarvan IV,ATier,50.29%,39.22%,4.5%,0.8%,"45,158"
50,Jax,DTier,49.38%,77.05%,5.2%,11.1%,"52,163"
51,Jayce,DTier,48.1%,88.52%,4.5%,3.4%,"45,236"
52,Jhin,S+Tier,50.75%,30.77%,16.6%,2.8%,"165,911"
53,Jinx,S+Tier,51.24%,23.08%,13.1%,3.9%,"130,975"
54,K'Sante,DTier,47.13%,96.72%,3.7%,1.7%,"37,181"
55,Kai'Sa,S+Tier,50.54%,38.46%,32.6%,15.6%,"326,864"
56,Kalista,CTier,48.28%,88.46%,1.5%,0.5%,"15,194"
57,Karma,BTier,49.93%,57.78%,8.3%,2.9%,"83,409"
58,Karthus,BTier,49.78%,70.59%,3.1%,8.2%,"30,650"
59,Kassadin,ATier,50.25%,50.85%,1.9%,2.8%,"19,514"
60,Katarina,STier,50.16%,54.24%,5.4%,6.0%,"54,609"
61,Kayle,STier,51.76%,9.84%,2.9%,1.6%,"28,929"
62,Kayn,BTier,49.95%,64.71%,5.5%,4.3%,"55,480"
63,Kennen,ATier,50.67%,32.79%,2.3%,1.5%,"23,219"
64,Kha'Zix,S+Tier,50.45%,33.33%,9.8%,9.3%,"97,796"
65,Kindred,ATier,50.08%,56.86%,3.3%,3.5%,"33,210"
66,Kled,STier,52.65%,3.28%,1.9%,1.0%,"18,637"
67,Kog'Maw,STier,52.91%,3.85%,2.4%,0.9%,"24,018"
68,LeBlanc,S+Tier,50.13%,55.93%,8.9%,25.2%,"89,367"
69,Lee Sin,DTier,49.35%,78.43%,16.6%,13.8%,"166,780"
70,Leona,S+Tier,51.99%,6.67%,13.2%,24.5%,"132,252"
71,Lillia,S+Tier,50.78%,27.45%,7.6%,16.7%,"76,614"
72,Lissandra,ATier,50.57%,42.37%,3.4%,1.5%,"33,628"
73,Lucian,DTier,49.37%,65.38%,8.9%,2.7%,"88,950"
74,Lulu,S+Tier,50.82%,35.56%,10.5%,7.6%,"105,725"
75,Lux,DTier,48.8%,80.00%,6.4%,4.1%,"63,860"
76,Malphite,STier,50.13%,62.30%,4.3%,10.6%,"43,458"
77,Malzahar,STier,50.02%,59.32%,3.4%,3.7%,"34,278"
78,Maokai,BTier,50.06%,55.56%,1.8%,0.4%,"17,924"
79,Master Yi,S+Tier,50.67%,29.41%,4.7%,8.3%,"46,722"
80,Milio,STier,50.36%,44.44%,7.7%,5.1%,"77,561"
81,Miss Fortune,ATier,50.1%,42.31%,8.1%,1.9%,"80,998"
82,Mordekaiser,S+Tier,50.58%,37.70%,5.4%,8.5%,"54,393"
83,Morgana,DTier,48.36%,82.22%,3.6%,16.1%,"35,637"
84,Naafiri,STier,52.03%,13.56%,2.6%,3.0%,"26,318"
85,Nami,STier,51.31%,17.78%,9.5%,1.2%,"95,598"
86,Nasus,S+Tier,50.79%,26.23%,5.1%,5.1%,"50,866"
87,Nautilus,DTier,48.36%,84.44%,11.9%,18.9%,"118,880"
88,Neeko,BTier,49.74%,64.44%,1.5%,0.7%,"14,877"
89,Nidalee,DTier,48.65%,80.39%,7.5%,9.9%,"74,740"
90,Nilah,STier,52.1%,15.38%,1.3%,2.5%,"13,306"
91,Nocturne,S+Tier,51%,23.53%,6.0%,8.1%,"60,222"
92,Nunu & Willump,ATier,50.51%,31.37%,2.6%,0.5%,"26,149"
93,Olaf,ATier,50.33%,49.18%,1.3%,1.1%,"12,949"
94,Orianna,DTier,48.67%,86.44%,3.1%,0.5%,"30,791"
