,name,tier,win_rate,rank,pick_rate,ban_rate,matches
0,Aatrox,ATier,49.97%,66.10%,11.4%,16.2%,"300,655"
1,Ahri,CTier,49.66%,67.24%,8.9%,10.1%,"224,349"
2,Akali,DTier,49.02%,81.03%,4.8%,11.9%,"126,152"
3,Akshan,S+Tier,52.49%,6.90%,2.7%,8.5%,"71,426"
4,Alistar,STier,50.77%,27.27%,6.3%,2.3%,"166,081"
5,Amumu,ATier,50.85%,25.49%,3.4%,1.0%,"90,232"
6,Anivia,STier,52.25%,12.07%,2.1%,1.6%,"55,527"
7,Annie,ATier,50.76%,36.21%,1.3%,0.4%,"32,913"
8,Aphelios,DTier,46.65%,96.30%,3.9%,0.6%,"98,953"
9,Ashe,S+Tier,51.05%,25.93%,10.5%,13.6%,"262,346"
10,Aurelion Sol,ATier,50.29%,51.72%,3.4%,2.3%,"85,462"
11,Azir,DTier,46.36%,100.00%,2.5%,0.4%,"65,462"
12,Bard,ATier,50.2%,43.18%,3.2%,0.4%,"79,616"
13,Bel'Veth,S+Tier,51.27%,9.80%,3.3%,7.8%,"81,954"
14,Blitzcrank,ATier,49.8%,61.36%,6.6%,25.2%,"164,509"
15,Brand,DTier,48.02%,88.64%,2.6%,15.3%,"69,837"
16,Braum,S+Tier,51.48%,13.64%,6.5%,4.0%,"171,834"
17,Briar,BTier,49.96%,54.90%,2.9%,5.5%,"76,066"
18,Caitlyn,DTier,48.57%,85.19%,11.9%,21.6%,"297,435"
19,Camille,S+Tier,51.6%,10.17%,6.3%,7.2%,"167,013"
20,Cassiopeia,STier,52.36%,10.34%,2.2%,2.6%,"55,508"
21,Cho'Gath,CTier,48.75%,84.75%,1.5%,0.3%,"40,407"
22,Corki,DTier,47.91%,91.38%,5.9%,4.2%,"149,167"
23,Darius,S+Tier,50.53%,42.37%,7.4%,18.4%,"193,760"
24,Diana,BTier,49.92%,58.82%,5.3%,2.6%,"132,304"
25,Dr. Mundo,STier,50.9%,25.42%,6.3%,3.4%,"157,110"
26,Draven,S+Tier,50.07%,44.44%,5.7%,25.5%,"149,771"
27,Ekko,ATier,50.48%,43.14%,4.1%,1.4%,"102,593"
28,Elise,ATier,50.8%,27.45%,2.1%,1.1%,"54,834"
29,Evelynn,BTier,49.87%,62.75%,2.5%,5.9%,"65,553"
30,Ezreal,DTier,49.56%,74.07%,25.2%,15.1%,"630,797"
31,Fiddlesticks,STier,51.91%,3.92%,3.2%,2.7%,"83,698"
32,Fiora,S+Tier,50.64%,38.98%,4.4%,8.5%,"116,116"
33,Fizz,BTier,49.68%,63.79%,3.1%,4.6%,"78,791"
34,Galio,S+Tier,52.45%,8.62%,3.8%,1.5%,"99,227"
35,Gangplank,DTier,49.02%,79.66%,3.1%,1.4%,"81,149"
36,Garen,STier,50.48%,44.07%,6.8%,4.7%,"177,941"
37,Gnar,BTier,49.72%,69.49%,3.4%,0.6%,"89,094"
38,Gragas,BTier,49.8%,69.49%,3.5%,2.9%,"87,761"
39,Graves,DTier,48.65%,86.27%,7.5%,3.9%,"197,616"
40,Gwen,STier,51.07%,20.34%,3.0%,2.2%,"76,084"
41,Hecarim,BTier,49.9%,60.78%,5.3%,3.7%,"131,639"
42,Heimerdinger,ATier,50.84%,32.20%,1.0%,0.7%,"24,514"
43,Hwei,DTier,48.82%,86.21%,7.6%,16.7%,"201,189"
44,Illaoi,STier,50.26%,54.24%,3.0%,6.6%,"78,458"
